Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 8692.18it/s]
[ours] loaded 48 steer tensors; prefix_write=False; cfg=PrefixSteerConfig(num_prefix_tokens=0, sliding_window_size=256, mem_num_heads=1, mem_head_dim=128, steer_mode='deltamem', normal_attends_prefix=True, prefix_sees_query=True, prefix_init_std=0.7, prefix_init_dist='normal', prefix_write=False, read_prefix_only=False, memory_mode='dynamic', write_ctx_only=False, prefix_write_layout='global', prefix_write_overlap_tokens=0, pool_reads=False, pool_gate=False, pool_gate_input='rm', pool_gate_max=2.0, pool_gate_bias=0.0, steer_layers=(0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33), prefix_layers=(), steer_gain=0.1, share_qkv=False, memory_value_source='main_v', delta_heads='o', delta_rank=0, read_proj_dim=0, output_fusion='fixed', o_fusion_position='pre_o', output_fusion_eps=1e-06, output_fusion_scale_max=10.0, fusion_lambda_init=0.1, fusion_lambda_max=1.0, fusion_ema_momentum=0.99, history_pool_mode='none', hybrid_read_mode='none', hybrid_prefix_gate_mode='fixed', hybrid_prefix_gate_init=0.1)
[ruler] loaded 1300 OFFICIAL samples from /work/mingze/ruler_official_data_16384/ruler_data
[ruler-16384_official] 325 samples over 13 tasks
  20/325  base=0.945 ours=0.915
  40/325  base=0.941 ours=0.865
  60/325  base=0.955 ours=0.904
  80/325  base=0.966 ours=0.928
  100/325  base=0.973 ours=0.943
  120/325  base=0.977 ours=0.952
  140/325  base=0.981 ours=0.959
  160/325  base=0.983 ours=0.961
  180/325  base=0.985 ours=0.961
  200/325  base=0.987 ours=0.965
  220/325  base=0.988 ours=0.968
  240/325  base=0.989 ours=0.971
  260/325  base=0.974 ours=0.954
  280/325  base=0.951 ours=0.929
  300/325  base=0.938 ours=0.897
  320/325  base=0.942 ours=0.903

=== RULER-16384_official (recall, mean over tasks) ===
            task     base     ours
             cwe    0.932    0.904
             fwe    0.960    0.867
 niah_multikey_1    1.000    1.000
 niah_multikey_2    1.000    1.000
 niah_multikey_3    1.000    1.000
 niah_multiquery    1.000    1.000
 niah_multivalue    1.000    0.950
   niah_single_1    1.000    1.000
   niah_single_2    1.000    1.000
   niah_single_3    1.000    1.000
            qa_1    0.600    0.560
            qa_2    0.760    0.480
              vt    1.000    1.000
         OVERALL    0.942    0.905
